Wavelength;Fator
0.1995;5.99E-06
0.2005;8.39E-06
0.2015;8.39E-06
0.2025;9.59E-06
0.2035;1.08E-05
0.2045;1.08E-05
0.2055;1.20E-05
0.2065;1.20E-05
0.2075;1.32E-05
0.2085;1.80E-05
0.2095;2.88E-05
0.2105;3.36E-05
0.2115;4.08E-05
0.2125;3.60E-05
0.2135;3.84E-05
0.2145;4.91E-05
0.2155;4.43E-05
0.2165;4.08E-05
0.2175;4.31E-05
0.2185;5.39E-05
0.2195;5.75E-05
0.2205;5.75E-05
0.2215;4.67E-05
0.2225;6.11E-05
0.2235;7.91E-05
0.2245;6.95E-05
0.2255;6.47E-05
0.2265;4.91E-05
0.2275;4.91E-05
0.2285;6.47E-05
0.2295;5.75E-05
0.2305;6.71E-05
0.2315;5.99E-05
0.2325;6.59E-05
0.2335;5.51E-05
0.2345;4.67E-05
0.2355;6.83E-05
0.2365;5.87E-05
0.2375;6.35E-05
0.2385;5.03E-05
0.2395;5.51E-05
0.2405;5.15E-05
0.2415;6.23E-05
0.2425;8.63E-05
0.2435;7.79E-05
0.2445;7.43E-05
0.2455;6.11E-05
0.2465;6.11E-05
0.2475;6.83E-05
0.2485;5.39E-05
0.2495;6.95E-05
0.2505;7.07E-05
0.2515;5.63E-05
0.2525;5.27E-05
0.2535;6.59E-05
0.2545;7.31E-05
0.2555;0.000106674
0.2565;0.000128248
0.2575;0.000154617
0.2585;0.00016061
0.2595;0.000129447
0.2605;0.000122255
0.2615;0.000123454
0.2625;0.000145028
0.2635;0.000209752
0.2645;0.000328411
0.2655;0.000335603
0.2665;0.000311631
0.2675;0.000323617
0.2685;0.000311631
0.2695;0.000302042
0.2705;0.000351184
0.2715;0.000278071
0.2725;0.000257695
0.2735;0.00024451
0.2745;0.000164206
0.2755;0.000239716
0.2765;0.000309234
0.2775;0.000287659
0.2785;0.000198964
0.2795;0.000106674
0.2805;0.000134241
0.2815;0.000276872
0.2825;0.000367964
0.2835;0.000395532
0.2845;0.000292454
0.2855;0.000169
0.2865;0.000383546
0.2875;0.000444674
0.2885;0.000367964
0.2895;0.000546553
0.2905;0.000746716
0.2915;0.000719149
0.2925;0.000653227
0.2935;0.000653227
0.2945;0.000610078
0.2955;0.000656822
0.2965;0.000589702
0.2975;0.000636446
0.2985;0.000495014
0.2995;0.000581312
0.3005;0.000483028
0.3015;0.000533368
0.3025;0.000580113
0.3035;0.000756305
0.3045;0.000731134
0.3055;0.000695177
0.3065;0.000689184
0.3075;0.000773085
0.3085;0.00073473
0.3095;0.000580113
0.31;0.000593298
0.3104;0.000607681
0.3108;0.000704766
0.3112;0.000847397
0.3116;0.00089534
0.312;0.000847397
0.3124;0.000771886
0.3128;0.000794659
0.3132;0.000850992
0.3136;0.000828219
0.314;0.000825822
0.3144;0.000865375
0.3148;0.000806645
0.3152;0.000833014
0.3156;0.000916914
0.316;0.000809042
0.3164;0.000681993
0.3168;0.000746716
0.3172;0.000897737
0.3176;0.000994822
0.318;0.000974446
0.3184;0.000806645
0.3188;0.000769489
0.3192;0.00092051
0.3196;0.000909723
0.32;0.00085339
0.3204;0.000932496
0.3208;0.001011602
0.3212;0.001015198
0.3216;0.000882156
0.322;0.000833014
0.3224;0.000926503
0.3228;0.000908524
0.3232;0.000774283
0.3236;0.000722744
0.324;0.000723943
0.3244;0.000740723
0.3248;0.000783872
0.3252;0.000774283
0.3256;0.000817432
0.326;0.001021191
0.3264;0.001257311
0.3268;0.001331623
0.3272;0.001328028
0.3276;0.00125851
0.328;0.001156631
0.3284;0.001095503
0.3288;0.001094304
0.3292;0.001141049
0.3296;0.00125012
0.33;0.001371177
0.3304;0.001362786
0.3305;0.001205772
0.3315;0.001160226
0.3325;0.001103893
0.3335;0.001084716
0.3345;0.001126666
0.3355;0.001177006
